"","Id","Brottskod","Brottskod.klartext","Inskrivningsdatum","Brottsdatum","Kommun","Län","DeSO.område","Antal"
"1",2165,1211,"Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)","2022-01-01","2022-01-01","Norrköping","Östergötlands Län","0581C1070",1
"2",2167,1211,"Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)","2022-01-01","2022-01-01","Norrköping","Östergötlands Län","0581C1070",1
"3",3151,1211,"Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)","2022-04-17","2022-04-17","Norrköping","Östergötlands Län","0581C1020",1
"4",3333,1211,"Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)","2022-04-16","2022-04-14","Norrköping","Östergötlands Län","",1
"5",3410,1211,"Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)","2022-04-17","2022-04-17","Norrköping","Östergötlands Län","0581C1030",1
"6",3517,1211,"Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)","2022-04-18","2022-04-17","Norrköping","Östergötlands Län","0581C1030",1
"7",7084,1211,"Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)","2022-09-11","2022-09-11","Nässjö","Jönköpings Län","0682C1010",1
"8",8604,1211,"Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)","2022-10-07","2022-10-09","Varberg","Hallands Län","1383C1100",1
"9",8605,1211,"Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)","2022-10-07","2022-10-13","Varberg","Hallands Län","1383C1100",1
"10",8606,1211,"Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)","2022-10-07","2022-10-11","Varberg","Hallands Län","1383C1100",1
"11",8607,1211,"Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)","2022-10-07","2022-10-18","Varberg","Hallands Län","1383C1100",1
"12",8608,1211,"Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)","2022-10-07","2022-10-12","Varberg","Hallands Län","1383C1100",1
"13",9321,1211,"Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)","2022-11-21","2022-11-20","Katrineholm","Södermanlands Län","0483C1110",1
"14",13116,1211,"Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)","2023-01-20","2023-01-22","Nacka","Stockholms Län","0182C1390",1
"15",19210,1211,"Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)","2023-03-27","2023-03-26","Huddinge","Stockholms Län","0126C1190",1
"16",23422,1211,"Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)","2023-05-30","2023-05-30","Upplands Väsby","Stockholms Län","0114C1170",1
"17",23602,1211,"Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)","2023-05-30","2023-05-30","Linköping","Östergötlands Län","0580C1670",1
"18",23912,1211,"Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)","2023-05-02","2023-05-02","Göteborg","Västra Götalands Län","1480C3260",1
