"","Id","Brottskod","Brottskod.klartext","Inskrivningsdatum","Brottsdatum","Kommun","Län","DeSO.område","Antal"
"1",1144,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2021-06-19","2021-06-18","Ånge","Västernorrlands Län","2260C1010",1
"2",2437,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2022-02-26","2022-02-26","Håbo","Uppsala Län","0305C1040",1
"3",3424,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2022-04-14","2022-04-14","Norrköping","Östergötlands Län","0581C1030",1
"4",3426,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2022-04-14","2022-04-14","Norrköping","Östergötlands Län","0581C1030",1
"5",3449,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2022-04-16","2022-04-16","Malmö","Skåne Län","1280C1200",1
"6",3450,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2022-04-16","2022-04-16","Malmö","Skåne Län","1280C1200",1
"7",3451,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2022-04-16","2022-04-16","Malmö","Skåne Län","1280C1200",1
"8",3938,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2022-05-15","2022-05-15","Skellefteå","Västerbottens Län","2482C1070",1
"9",4611,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2022-06-30","2022-06-26","Strömsund","Jämtlands Län","2313A0020",1
"10",5395,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2022-06-05","2022-06-05","Örebro","Örebro Län","1880C1190",1
"11",5400,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2022-06-16","2022-06-16","Malmö","Skåne Län","1280C2690",1
"12",6877,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2022-09-06","2022-04-15","Örebro","Örebro Län","1880C1220",1
"13",7028,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2022-04-15","2022-04-14","Norrköping","Östergötlands Län","0581C1030",1
"14",7029,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2022-04-15","2022-04-14","Norrköping","Östergötlands Län","0581C1030",1
"15",7031,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2022-04-15","2022-04-14","Norrköping","Östergötlands Län","0581C1030",1
