"","Id","Brottskod","Brottskod.klartext","Inskrivningsdatum","Brottsdatum","Kommun","Län","DeSO.område","Antal"
"1",3827,1210,"Skadegörelse, genom brand (ej på motorfordon)","2022-05-01","2022-04-30","Sollefteå","Västernorrlands Län","2283A0040",1
"2",4486,1210,"Skadegörelse, genom brand (ej på motorfordon)","2022-05-04","2022-05-03","Bjurholm","Västerbottens Län","2403A0010",1
"3",5732,1210,"Skadegörelse, genom brand (ej på motorfordon)","2022-07-19","2022-01-29","Karlshamn","Blekinge Län","1082C1060",1
"4",6231,1210,"Skadegörelse, genom brand (ej på motorfordon)","2022-08-18","2022-07-19","Linköping","Östergötlands Län","0580C1550",1
"5",6462,1210,"Skadegörelse, genom brand (ej på motorfordon)","2022-07-17","2022-07-17","Malmö","Skåne Län","1280C2080",1
"6",6472,1210,"Skadegörelse, genom brand (ej på motorfordon)","2022-08-13","2022-08-13","Värnamo","Jönköpings Län","0683C1020",1
"7",7890,1210,"Skadegörelse, genom brand (ej på motorfordon)","2022-10-27","2022-10-27","Eskilstuna","Södermanlands Län","0484C1390",1
"8",10172,1210,"Skadegörelse, genom brand (ej på motorfordon)","2022-12-15","2022-12-14","Göteborg","Västra Götalands Län","1480C1620",1
"9",11555,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-01-15","2023-01-15","Tomelilla","Skåne Län","1270C1040",1
"10",12109,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-01-18","2022-12-16","Sundsvall","Västernorrlands Län","2281C1350",1
"11",14163,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-03-07","2023-03-07","Södertälje","Stockholms Län","0181C1320",1
"12",14408,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-03-06","2023-03-05","Mullsjö","Jönköpings Län","0642C1030",1
"13",15480,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-02-07","2023-02-04","Alingsås","Västra Götalands Län","1489C1050",1
"14",15711,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-02-12","2023-02-12","Örebro","Örebro Län","1880C1580",1
"15",15947,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-03-01","2023-03-11","Enköping","Uppsala Län","0381B2010",1
"16",16221,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-02-21","2023-02-21","Västerås","Västmanlands Län","1980C1610",1
"17",17455,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-03-20","2023-03-18","Luleå","Norrbottens Län","2580C1110",1
"18",17982,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-04-10","2023-04-10","Göteborg","Västra Götalands Län","1480C2460",1
"19",18551,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-03-28","2023-03-28","Stockholm","Stockholms Län","0180C3750",1
"20",18938,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-04-10","2023-04-10","Stockholm","Stockholms Län","0180C5410",1
"21",20306,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-05-01","2023-05-01","Täby","Stockholms Län","0160C1150",1
