"","Id","Brottskod","Brottskod.klartext","Inskrivningsdatum","Brottsdatum","Kommun","Län","DeSO.område","Antal"
"1",1780,1615,"Övriga brott mot 16 kap. BrB","2021-11-16","2021-11-16","Huddinge","Stockholms Län","0126C1510",1
"2",1781,1615,"Övriga brott mot 16 kap. BrB","2021-11-16","2021-11-16","Huddinge","Stockholms Län","0126C1510",1
"3",3425,1615,"Övriga brott mot 16 kap. BrB","2022-04-14","2022-04-14","Norrköping","Östergötlands Län","0581C1030",1
"4",3448,1615,"Övriga brott mot 16 kap. BrB","2022-04-16","2022-04-16","Malmö","Skåne Län","1280C1200",1
"5",3849,1615,"Övriga brott mot 16 kap. BrB","2022-05-09","2022-04-03","Landskrona","Skåne Län","1282C1170",1
"6",5587,1615,"Övriga brott mot 16 kap. BrB","2022-08-10","2022-08-10","Sigtuna","Stockholms Län","0191C1020",1
"7",17004,1615,"Övriga brott mot 16 kap. BrB","2023-04-11","2023-04-11","Göteborg","Västra Götalands Län","1480C2590",1
"8",17243,1615,"Övriga brott mot 16 kap. BrB","2023-04-18","2023-04-18","Stockholm","Stockholms Län","0180C4020",1
"9",17475,1615,"Övriga brott mot 16 kap. BrB","2023-04-11","2023-04-09","Sundsvall","Västernorrlands Län","2281B2080",1
"10",21632,1615,"Övriga brott mot 16 kap. BrB","2023-05-05","2023-05-05","Norrköping","Östergötlands Län","0581C1280",1
"11",21940,1615,"Övriga brott mot 16 kap. BrB","2023-05-18","2023-05-18","Sölvesborg","Blekinge Län","1083B3010",1
"12",22191,1615,"Övriga brott mot 16 kap. BrB","2023-05-29","2023-05-28","Stockholm","Stockholms Län","0180C2390",1
"13",22899,1615,"Övriga brott mot 16 kap. BrB","2023-05-28","2023-05-28","Stockholm","Stockholms Län","0180C2390",1
"14",24525,1615,"Övriga brott mot 16 kap. BrB","2023-06-12","2023-05-28","Stockholm","Stockholms Län","0180C2390",1
"15",26799,1615,"Övriga brott mot 16 kap. BrB","2023-05-18","2023-05-18","Sölvesborg","Blekinge Län","1083B3010",1
"16",27079,1615,"Övriga brott mot 16 kap. BrB","2023-05-31","2023-05-28","Stockholm","Stockholms Län","0180C2390",1
"17",27176,1615,"Övriga brott mot 16 kap. BrB","2023-08-04","2023-08-03","Stockholm","Stockholms Län","0180C6310",1
"18",27534,1615,"Övriga brott mot 16 kap. BrB","2023-06-12","2023-05-28","Stockholm","Stockholms Län","0180C2390",1
"19",29141,1615,"Övriga brott mot 16 kap. BrB","2023-06-18","2023-06-18","Malmö","Skåne Län","1280C2920",1
"20",30149,1615,"Övriga brott mot 16 kap. BrB","2023-06-12","2023-05-28","Stockholm","Stockholms Län","0180C2390",1
"21",32151,1615,"Övriga brott mot 16 kap. BrB","2023-06-13","2023-05-28","Stockholm","Stockholms Län","0180C2390",1
"22",33216,1615,"Övriga brott mot 16 kap. BrB","2023-06-13","2023-05-28","Stockholm","Stockholms Län","0180C2390",1
"23",34339,1615,"Övriga brott mot 16 kap. BrB","2023-06-20","2023-06-20","Malmö","Skåne Län","1280C2920",1
"24",34473,1615,"Övriga brott mot 16 kap. BrB","2023-06-17","2023-06-17","Malmö","Skåne Län","1280C2920",1
"25",34937,1615,"Övriga brott mot 16 kap. BrB","2023-06-21","2023-05-25","Stockholm","Stockholms Län","0180C2390",1
"26",35205,1615,"Övriga brott mot 16 kap. BrB","2023-06-13","2023-05-28","Stockholm","Stockholms Län","0180C2390",1
"27",35885,1615,"Övriga brott mot 16 kap. BrB","2023-09-03","2023-09-03","Malmö","Skåne Län","1280C1690",1
"28",39627,1615,"Övriga brott mot 16 kap. BrB","2023-09-03","2023-09-03","Malmö","Skåne Län","1280C2720",1
"29",39628,1615,"Övriga brott mot 16 kap. BrB","2023-09-03","2023-09-03","Malmö","Skåne Län","1280C2720",1
"30",42698,1615,"Övriga brott mot 16 kap. BrB","2023-09-12","2023-09-12","Stockholm","Stockholms Län","0180C3330",1
"31",43076,1615,"Övriga brott mot 16 kap. BrB","2023-08-23","2023-06-04","Borås","Västra Götalands Län","1490C1520",1
"32",47243,1615,"Övriga brott mot 16 kap. BrB","2023-10-23","2023-10-22","Stockholm","Stockholms Län","0180C4040",1
"33",49879,1615,"Övriga brott mot 16 kap. BrB","2023-10-02","2023-05-28","Stockholm","Stockholms Län","0180C2390",1
"34",49941,1615,"Övriga brott mot 16 kap. BrB","2023-09-26","2023-05-28","Stockholm","Stockholms Län","0180C2390",1
"35",51068,1615,"Övriga brott mot 16 kap. BrB","2023-10-04","2023-05-28","Stockholm","Stockholms Län","0180C2390",1
"36",52275,1615,"Övriga brott mot 16 kap. BrB","2023-09-26","2023-05-28","Stockholm","Stockholms Län","0180C2390",1
