"","Id","Brottskod","Brottskod.klartext","Inskrivningsdatum","Brottsdatum","Kommun","Län","DeSO.område","Antal"
"1",344,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2020-03-14","2020-03-14","Örebro","Örebro Län","1880C1650",1
"2",981,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2021-04-10","2021-04-10","Örebro","Örebro Län","1880C1620",1
"3",1851,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2021-11-13","2021-11-13","Västerås","Västmanlands Län","1980C1130",1
"4",1853,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2021-11-13","2021-11-13","Västerås","Västmanlands Län","1980C1130",1
"5",1854,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2021-11-13","2021-11-13","Västerås","Västmanlands Län","1980C1130",1
"6",1958,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2021-10-29","2021-10-28","Norrköping","Östergötlands Län","0581C1290",1
"7",2208,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2021-12-15","2021-12-15","Strömsund","Jämtlands Län","2313A0020",1
"8",2277,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2022-01-23","2022-01-22","Degerfors","Örebro Län","1862C1010",1
"9",2441,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2022-02-18","2022-02-18","Ludvika","Dalarnas Län","2085A0010",1
"10",2457,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2022-02-16","2022-02-16","Stockholm","Stockholms Län","0180C6080",1
"11",2582,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2022-02-09","2022-02-09","Eskilstuna","Södermanlands Län","0484C1210",1
"12",2672,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2022-02-26","2022-02-26","Håbo","Uppsala Län","0305C1040",1
"13",2673,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2022-02-26","2022-02-26","Håbo","Uppsala Län","0305C1040",1
"14",2904,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2022-03-28","2022-03-28","Jönköping","Jönköpings Län","0680C1350",1
"15",2939,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2022-03-10","2022-03-10","Sjöbo","Skåne Län","1265C1040",1
"16",3315,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2022-04-08","2022-04-06","Nacka","Stockholms Län","0182C1260",1
"17",3316,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2022-04-08","2022-04-06","Nacka","Stockholms Län","0182C1260",1
"18",3360,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2022-03-12","2022-03-12","Linköping","Östergötlands Län","0580C1450",1
"19",3362,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2022-03-12","2022-03-12","Linköping","Östergötlands Län","0580C1450",1
"20",3411,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2022-04-06","2022-04-06","Partille","Västra Götalands Län","1402C1050",1
"21",3414,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2022-04-06","2022-04-06","Partille","Västra Götalands Län","1402C1050",1
"22",3478,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2022-03-19","2022-03-19","Västerås","Västmanlands Län","1980C1520",1
"23",3981,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2022-05-07","2022-04-15","Örebro","Örebro Län","1880C1220",1
"24",4089,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2022-05-11","2022-04-15","Örebro","Örebro Län","1880C1220",1
"25",4107,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2022-05-12","2022-04-15","Örebro","Örebro Län","1880C1220",1
"26",4108,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2022-05-12","2022-04-15","Örebro","Örebro Län","1880C1220",1
"27",4109,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2022-05-12","2022-04-15","Örebro","Örebro Län","1880C1220",1
"28",4186,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2022-05-08","2022-04-15","Örebro","Örebro Län","1880C1220",1
